suicides/100k pop,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,sex_female,sex_male,age_15-24 years,age_25-34 years,age_35-54 years,age_5-14 years,age_55-74 years,age_75+ years
1.89,6.671,10.067,0.9179999999999999,68.02,0.745,-0.16399999999999998,0.8540000000000001,1,0,0,0,0,0,0,1
0.99,6.671,10.067,0.9179999999999999,68.02,0.745,-0.16399999999999998,0.8540000000000001,1,0,0,0,0,1,0,0
0.93,6.671,10.067,0.9179999999999999,68.02,0.745,-0.16399999999999998,0.8540000000000001,0,1,0,0,0,1,0,0
34.38,6.697,10.083,0.9259999999999999,68.2,0.8809999999999999,-0.174,0.851,0,1,0,0,0,0,0,1
18.74,6.697,10.083,0.9259999999999999,68.2,0.8809999999999999,-0.174,0.851,0,1,1,0,0,0,0,0
14.31,6.697,10.083,0.9259999999999999,68.2,0.8809999999999999,-0.174,0.851,0,1,0,0,0,0,1,0
14.13,6.697,10.083,0.9259999999999999,68.2,0.8809999999999999,-0.174,0.851,0,1,0,1,0,0,0,0
12.25,6.697,10.083,0.9259999999999999,68.2,0.8809999999999999,-0.174,0.851,0,1,0,0,1,0,0,0
4.51,6.697,10.083,0.9259999999999999,68.2,0.8809999999999999,-0.174,0.851,1,0,1,0,0,0,0,0
3.55,6.697,10.083,0.9259999999999999,68.2,0.8809999999999999,-0.174,0.851,1,0,0,0,0,0,1,0
3.52,6.697,10.083,0.9259999999999999,68.2,0.8809999999999999,-0.174,0.851,1,0,0,1,0,0,0,0
3.13,6.697,10.083,0.9259999999999999,68.2,0.8809999999999999,-0.174,0.851,1,0,0,0,1,0,0,0
2.01,6.697,10.083,0.9259999999999999,68.2,0.8809999999999999,-0.174,0.851,1,0,0,0,0,0,0,1
1.06,6.697,10.083,0.9259999999999999,68.2,0.8809999999999999,-0.174,0.851,0,1,0,0,0,1,0,0
0.54,6.697,10.083,0.9259999999999999,68.2,0.8809999999999999,-0.174,0.851,1,0,0,0,0,1,0,0
12.47,4.289,9.044,0.682,64.8,0.52,-0.231,0.85,0,1,0,0,0,0,0,1
11.38,4.289,9.044,0.682,64.8,0.52,-0.231,0.85,0,1,0,0,0,0,1,0
4.63,4.289,9.044,0.682,64.8,0.52,-0.231,0.85,0,1,0,0,1,0,0,0
3.62,4.289,9.044,0.682,64.8,0.52,-0.231,0.85,0,1,1,0,0,0,0,0
3.35,4.289,9.044,0.682,64.8,0.52,-0.231,0.85,1,0,0,0,0,0,1,0
3.19,4.289,9.044,0.682,64.8,0.52,-0.231,0.85,0,1,0,1,0,0,0,0
2.54,4.289,9.044,0.682,64.8,0.52,-0.231,0.85,1,0,0,0,0,0,0,1
1.11,4.289,9.044,0.682,64.8,0.52,-0.231,0.85,1,0,0,0,1,0,0,0
0.93,4.289,9.044,0.682,64.8,0.52,-0.231,0.85,1,0,0,1,0,0,0,0
0.45,4.289,9.044,0.682,64.8,0.52,-0.231,0.85,0,1,0,0,0,1,0,0
0.0,4.289,9.044,0.682,64.8,0.52,-0.231,0.85,1,0,1,0,0,0,0,0
0.0,4.289,9.044,0.682,64.8,0.52,-0.231,0.85,1,0,0,0,0,1,0,0
14.2,4.882,9.181000000000001,0.76,64.9,0.605,-0.251,0.8170000000000001,0,1,0,0,0,0,0,1
7.02,4.882,9.181000000000001,0.76,64.9,0.605,-0.251,0.8170000000000001,0,1,0,0,0,0,1,0
5.25,4.882,9.181000000000001,0.76,64.9,0.605,-0.251,0.8170000000000001,0,1,0,0,1,0,0,0
3.32,4.882,9.181000000000001,0.76,64.9,0.605,-0.251,0.8170000000000001,1,0,0,0,0,0,1,0
2.57,4.882,9.181000000000001,0.76,64.9,0.605,-0.251,0.8170000000000001,0,1,1,0,0,0,0,0
2.09,4.882,9.181000000000001,0.76,64.9,0.605,-0.251,0.8170000000000001,0,1,0,1,0,0,0,0
1.8,4.882,9.181000000000001,0.76,64.9,0.605,-0.251,0.8170000000000001,1,0,0,0,1,0,0,0
1.26,4.882,9.181000000000001,0.76,64.9,0.605,-0.251,0.8170000000000001,1,0,0,0,0,0,0,1
1.04,4.882,9.181000000000001,0.76,64.9,0.605,-0.251,0.8170000000000001,1,0,1,0,0,0,0,0
0.47,4.882,9.181000000000001,0.76,64.9,0.605,-0.251,0.8170000000000001,0,1,0,0,0,1,0,0
0.0,4.882,9.181000000000001,0.76,64.9,0.605,-0.251,0.8170000000000001,1,0,0,1,0,0,0,0
0.0,4.882,9.181000000000001,0.76,64.9,0.605,-0.251,0.8170000000000001,1,0,0,0,0,1,0,0
14.93,4.652,9.256,0.7090000000000001,65.0,0.462,-0.215,0.8759999999999999,0,1,0,0,0,0,0,1
9.05,4.652,9.256,0.7090000000000001,65.0,0.462,-0.215,0.8759999999999999,0,1,0,0,0,0,1,0
2.56,4.652,9.256,0.7090000000000001,65.0,0.462,-0.215,0.8759999999999999,0,1,0,0,1,0,0,0
2.09,4.652,9.256,0.7090000000000001,65.0,0.462,-0.215,0.8759999999999999,1,0,0,0,1,0,0,0
1.92,4.652,9.256,0.7090000000000001,65.0,0.462,-0.215,0.8759999999999999,1,0,0,0,0,0,1,0
1.6,4.652,9.256,0.7090000000000001,65.0,0.462,-0.215,0.8759999999999999,0,1,0,1,0,0,0,0
0.94,4.652,9.256,0.7090000000000001,65.0,0.462,-0.215,0.8759999999999999,0,1,1,0,0,0,0,0
0.79,4.652,9.256,0.7090000000000001,65.0,0.462,-0.215,0.8759999999999999,1,0,0,1,0,0,0,0
0.5,4.652,9.256,0.7090000000000001,65.0,0.462,-0.215,0.8759999999999999,1,0,0,0,0,1,0,0
0.45,4.652,9.256,0.7090000000000001,65.0,0.462,-0.215,0.8759999999999999,0,1,0,0,0,1,0,0
0.32,4.652,9.256,0.7090000000000001,65.0,0.462,-0.215,0.8759999999999999,1,0,1,0,0,0,0,0
0.0,4.652,9.256,0.7090000000000001,65.0,0.462,-0.215,0.8759999999999999,1,0,0,0,0,0,0,1
15.76,4.178,9.111,0.68,65.1,0.441,-0.214,0.882,0,1,0,0,0,0,0,1
5.8,4.178,9.111,0.68,65.1,0.441,-0.214,0.882,0,1,0,0,0,0,1,0
4.83,4.178,9.111,0.68,65.1,0.441,-0.214,0.882,0,1,0,0,1,0,0,0
1.92,4.178,9.111,0.68,65.1,0.441,-0.214,0.882,0,1,1,0,0,0,0,0
1.25,4.178,9.111,0.68,65.1,0.441,-0.214,0.882,1,0,0,0,0,0,0,1
1.21,4.178,9.111,0.68,65.1,0.441,-0.214,0.882,1,0,0,0,0,0,1,0
1.01,4.178,9.111,0.68,65.1,0.441,-0.214,0.882,0,1,0,1,0,0,0,0
0.87,4.178,9.111,0.68,65.1,0.441,-0.214,0.882,1,0,0,1,0,0,0,0
0.69,4.178,9.111,0.68,65.1,0.441,-0.214,0.882,1,0,0,0,1,0,0,0
0.36,4.178,9.111,0.68,65.1,0.441,-0.214,0.882,1,0,1,0,0,0,0,0
0.0,4.178,9.111,0.68,65.1,0.441,-0.214,0.882,1,0,0,0,0,1,0,0
0.0,4.178,9.111,0.68,65.1,0.441,-0.214,0.882,0,1,0,0,0,1,0,0
11.47,4.368,9.136000000000001,0.66,65.2,0.45899999999999996,-0.17600000000000002,0.8909999999999999,0,1,0,0,0,0,0,1
6.73,4.368,9.136000000000001,0.66,65.2,0.45899999999999996,-0.17600000000000002,0.8909999999999999,0,1,0,0,0,0,1,0
4.93,4.368,9.136000000000001,0.66,65.2,0.45899999999999996,-0.17600000000000002,0.8909999999999999,0,1,0,1,0,0,0,0
4.33,4.368,9.136000000000001,0.66,65.2,0.45899999999999996,-0.17600000000000002,0.8909999999999999,0,1,0,0,1,0,0,0
3.17,4.368,9.136000000000001,0.66,65.2,0.45899999999999996,-0.17600000000000002,0.8909999999999999,0,1,1,0,0,0,0,0
2.76,4.368,9.136000000000001,0.66,65.2,0.45899999999999996,-0.17600000000000002,0.8909999999999999,1,0,0,0,0,0,1,0
2.45,4.368,9.136000000000001,0.66,65.2,0.45899999999999996,-0.17600000000000002,0.8909999999999999,1,0,0,0,0,0,0,1
1.2,4.368,9.136000000000001,0.66,65.2,0.45899999999999996,-0.17600000000000002,0.8909999999999999,1,0,0,0,0,1,0,0
1.17,4.368,9.136000000000001,0.66,65.2,0.45899999999999996,-0.17600000000000002,0.8909999999999999,1,0,0,0,1,0,0,0
1.04,4.368,9.136000000000001,0.66,65.2,0.45899999999999996,-0.17600000000000002,0.8909999999999999,0,1,0,0,0,1,0,0
0.74,4.368,9.136000000000001,0.66,65.2,0.45899999999999996,-0.17600000000000002,0.8909999999999999,1,0,1,0,0,0,0,0
0.42,4.368,9.136000000000001,0.66,65.2,0.45899999999999996,-0.17600000000000002,0.8909999999999999,1,0,0,1,0,0,0,0
6.92,4.26,9.182,0.705,65.36,0.465,-0.225,0.875,1,0,0,0,0,0,0,1
6.74,4.26,9.182,0.705,65.36,0.465,-0.225,0.875,0,1,0,0,1,0,0,0
5.64,4.26,9.182,0.705,65.36,0.465,-0.225,0.875,0,1,0,0,0,0,1,0
3.81,4.26,9.182,0.705,65.36,0.465,-0.225,0.875,0,1,0,1,0,0,0,0
3.6,4.26,9.182,0.705,65.36,0.465,-0.225,0.875,0,1,0,0,0,0,0,1
2.85,4.26,9.182,0.705,65.36,0.465,-0.225,0.875,0,1,1,0,0,0,0,0
1.54,4.26,9.182,0.705,65.36,0.465,-0.225,0.875,1,0,1,0,0,0,0,0
1.17,4.26,9.182,0.705,65.36,0.465,-0.225,0.875,1,0,0,0,0,0,1,0
0.71,4.26,9.182,0.705,65.36,0.465,-0.225,0.875,1,0,0,0,1,0,0,0
0.0,4.26,9.182,0.705,65.36,0.465,-0.225,0.875,1,0,0,1,0,0,0,0
0.0,4.26,9.182,0.705,65.36,0.465,-0.225,0.875,1,0,0,0,0,1,0,0
0.0,4.26,9.182,0.705,65.36,0.465,-0.225,0.875,0,1,0,0,0,1,0,0
8.83,4.32,9.249,0.6759999999999999,65.52,0.502,-0.215,0.893,0,1,0,0,0,0,0,1
6.9,4.32,9.249,0.6759999999999999,65.52,0.502,-0.215,0.893,0,1,0,0,1,0,0,0
5.18,4.32,9.249,0.6759999999999999,65.52,0.502,-0.215,0.893,0,1,0,0,0,0,1,0
4.48,4.32,9.249,0.6759999999999999,65.52,0.502,-0.215,0.893,0,1,0,1,0,0,0,0
3.29,4.32,9.249,0.6759999999999999,65.52,0.502,-0.215,0.893,1,0,0,0,0,0,0,1
1.96,4.32,9.249,0.6759999999999999,65.52,0.502,-0.215,0.893,0,1,1,0,0,0,0,0
1.63,4.32,9.249,0.6759999999999999,65.52,0.502,-0.215,0.893,1,0,0,0,1,0,0,0
1.54,4.32,9.249,0.6759999999999999,65.52,0.502,-0.215,0.893,1,0,0,1,0,0,0,0
1.46,4.32,9.249,0.6759999999999999,65.52,0.502,-0.215,0.893,1,0,0,0,0,0,1,0
0.78,4.32,9.249,0.6759999999999999,65.52,0.502,-0.215,0.893,1,0,1,0,0,0,0,0
0.52,4.32,9.249,0.6759999999999999,65.52,0.502,-0.215,0.893,0,1,0,0,0,1,0,0
0.0,4.32,9.249,0.6759999999999999,65.52,0.502,-0.215,0.893,1,0,0,0,0,1,0,0
11.94,4.277,9.277000000000001,0.723,65.68,0.504,-0.195,0.9,0,1,0,0,0,0,0,1
6.31,4.277,9.277000000000001,0.723,65.68,0.504,-0.195,0.9,1,0,0,0,0,0,0,1
5.04,4.277,9.277000000000001,0.723,65.68,0.504,-0.195,0.9,0,1,0,0,0,0,1,0
3.92,4.277,9.277000000000001,0.723,65.68,0.504,-0.195,0.9,1,0,0,0,0,0,1,0
3.59,4.277,9.277000000000001,0.723,65.68,0.504,-0.195,0.9,0,1,0,1,0,0,0,0
3.51,4.277,9.277000000000001,0.723,65.68,0.504,-0.195,0.9,0,1,0,0,1,0,0,0
1.42,4.277,9.277000000000001,0.723,65.68,0.504,-0.195,0.9,1,0,0,0,1,0,0,0
